year_film,total_nom,total_win,netflix_nom,netflix_win,amazon_nom,amazon_win,apple_nom,hulu_nom,streamers_nom,streamers_win,classic_nom,classic_win,netflix_ba,amazon_ba,total_ba,classic_nom_rate,streamers_nom_rate,classic_win_rate,streamers_win_rate
2020,118,23,35,6,12,2,2,2,51,8,67,15,17.142857142857142,16.666666666666664,19.491525423728813,56.779661016949156,43.22033898305085,65.21739130434783,34.78260869565217
2019,124,24,24,2,0,0,0,0,24,2,100,22,8.333333333333332,,19.35483870967742,80.64516129032258,19.35483870967742,91.66666666666666,8.333333333333332
2018,121,24,15,4,3,0,0,0,18,4,103,20,26.666666666666668,0.0,19.834710743801654,85.12396694214877,14.87603305785124,83.33333333333334,16.666666666666664
2017,122,24,8,1,1,0,0,0,9,1,113,23,12.5,0.0,19.672131147540984,92.62295081967213,7.377049180327869,95.83333333333334,4.166666666666666
2016,122,24,3,1,7,3,0,0,10,4,112,20,33.33333333333333,42.857142857142854,19.672131147540984,91.80327868852459,8.19672131147541,83.33333333333334,16.666666666666664
2015,121,24,2,0,0,0,0,0,2,0,119,24,0.0,,19.834710743801654,98.34710743801654,1.6528925619834711,100.0,0.0
2014,121,24,1,0,0,0,0,0,1,0,120,24,0.0,,19.834710743801654,99.17355371900827,0.8264462809917356,100.0,0.0
2013,122,24,1,0,0,0,0,0,1,0,121,24,0.0,,19.672131147540984,99.18032786885246,0.819672131147541,100.0,0.0
2012,122,25,0,0,0,0,0,0,0,0,122,25,,,20.491803278688526,100.0,0.0,100.0,0.0
2011,119,24,0,0,0,0,0,0,0,0,119,24,,,20.168067226890756,100.0,0.0,100.0,0.0
