,year_film,year_ceremony,ceremony,category,name,film,winner,distributor
0,2020,2021,93,ACTOR IN A LEADING ROLE,Chadwick Boseman,Ma Rainey's Black Bottom,False,Netflix
1,2020,2021,93,ACTOR IN A LEADING ROLE,Gary Oldman,Mank,False,Netflix
3,2020,2021,93,ACTOR IN A LEADING ROLE,Riz Ahmed,Sound of Metal,False,Amazon Studios
7,2020,2021,93,ACTOR IN A SUPPORTING ROLE,"Leslie Odom, Jr.",One Night in Miami...,False,Amazon Studios
8,2020,2021,93,ACTOR IN A SUPPORTING ROLE,Paul Raci,Sound of Metal,False,Amazon Studios
9,2020,2021,93,ACTOR IN A SUPPORTING ROLE,Sacha Baron Cohen,The Trial of the Chicago 7,False,Netflix
10,2020,2021,93,ACTRESS IN A LEADING ROLE,Viola Davis,Ma Rainey's Black Bottom,False,Netflix
12,2020,2021,93,ACTRESS IN A LEADING ROLE,Vanessa Kirby,Pieces of a Woman,False,Netflix
14,2020,2021,93,ACTRESS IN A LEADING ROLE,Andra Day,The United States vs. Billie Holiday,False,Hulu
15,2020,2021,93,ACTRESS IN A SUPPORTING ROLE,Maria Bakalova,Borat Subsequent Moviefilm: Delivery of Prodigious Bribe to American Regime for Make Benefit Once Glorious Nation of Kazakhstan,False,Amazon Studios
16,2020,2021,93,ACTRESS IN A SUPPORTING ROLE,Glenn Close,Hillbilly Elegy,False,Netflix
17,2020,2021,93,ACTRESS IN A SUPPORTING ROLE,Amanda Seyfried,Mank,False,Netflix
20,2020,2021,93,ANIMATED FEATURE FILM,"Richard Phelan, Will Becher and Paul Kewley",A Shaun the Sheep Movie: Farmageddon,False,Netflix
22,2020,2021,93,ANIMATED FEATURE FILM,"Glen Keane, Gennie Rim and Peilin Chou",Over the Moon,False,Netflix
24,2020,2021,93,ANIMATED FEATURE FILM,"Tomm Moore, Ross Stewart, Paul Young and Stéphan Roelants",Wolfwalkers,False,Apple
26,2020,2021,93,BEST PICTURE,"Ceán Chaffin, Eric Roth and Douglas Urbanski, Producers",Mank,False,Netflix
30,2020,2021,93,BEST PICTURE,"Bert Hamelinck and Sacha Ben Harroche, Producers",Sound of Metal,False,Amazon Studios
32,2020,2021,93,BEST PICTURE,"Marc Platt and Stuart Besser, Producers",The Trial of the Chicago 7,False,Netflix
34,2020,2021,93,CINEMATOGRAPHY,Erik Messerschmidt,Mank,True,Netflix
37,2020,2021,93,CINEMATOGRAPHY,Phedon Papamichael,The Trial of the Chicago 7,False,Netflix
39,2020,2021,93,COSTUME DESIGN,Ann Roth,Ma Rainey's Black Bottom,True,Netflix
40,2020,2021,93,COSTUME DESIGN,Trish Summerville,Mank,False,Netflix
44,2020,2021,93,DIRECTING,David Fincher,Mank,False,Netflix
49,2020,2021,93,DOCUMENTARY (Feature),"Nicole Newnham, Jim LeBrecht and Sara Bolder",Crip Camp,False,Netflix
50,2020,2021,93,DOCUMENTARY (Feature),"Pippa Ehrlich, James Reed and Craig Foster",My Octopus Teacher,True,Netflix
52,2020,2021,93,DOCUMENTARY (Feature),"Garrett Bradley, Lauren Domino and Kellen Quinn",Time,False,Amazon Studios
54,2020,2021,93,DOCUMENTARY (Short Subject),Sophia Nahli Allison and Janice Duncan,A Love Song for Latasha,False,Netflix
57,2020,2021,93,DOCUMENTARY (Short Subject),Skye Fitzgerald and Michael Scheuerman,Hunger Ward,False,Hulu
60,2020,2021,93,FILM EDITING,Mikkel E. G. Nielsen,Sound of Metal,True,Amazon Studios
62,2020,2021,93,FILM EDITING,Alan Baumgarten,The Trial of the Chicago 7,False,Netflix
71,2020,2021,93,MAKEUP AND HAIRSTYLING,"Eryn Krueger Mekash, Matthew Mungle and Patricia Dehaney",Hillbilly Elegy,False,Netflix
72,2020,2021,93,MAKEUP AND HAIRSTYLING,"Sergio Lopez-Rivera, Mia Neal and Jamika Wilson",Ma Rainey's Black Bottom,True,Netflix
73,2020,2021,93,MAKEUP AND HAIRSTYLING,"Gigi Williams, Kimberley Spiteri and Colleen LaBaff",Mank,False,Netflix
75,2020,2021,93,MUSIC (Original Score),Terence Blanchard,Da 5 Bloods,False,Netflix
76,2020,2021,93,MUSIC (Original Score),Trent Reznor and Atticus Ross,Mank,False,Netflix
80,2020,2021,93,MUSIC (Original Song),"Music and Lyric by Savan Kotecha, Fat Max Gsus and Rickard Göransson",Eurovision Song Contest: The Story of Fire Saga,False,Netflix
82,2020,2021,93,MUSIC (Original Song),"Music and Lyric by Leslie Odom, Jr. and Sam Ashworth",One Night in Miami...,False,Amazon Studios
83,2020,2021,93,MUSIC (Original Song),Music by Diane Warren; Lyric by Diane Warren and Laura Pausini,The Life Ahead (La Vita Davanti a Se),False,Netflix
84,2020,2021,93,MUSIC (Original Song),Music by Daniel Pemberton; Lyric by Daniel Pemberton and Celeste Waite,The Trial of the Chicago 7,False,Netflix
85,2020,2021,93,PRODUCTION DESIGN,Production Design: Mark Ricker; Set Decoration: Karen O'Hara and Diana Stoughton,Ma Rainey's Black Bottom,False,Netflix
86,2020,2021,93,PRODUCTION DESIGN,Production Design: Donald Graham Burt; Set Decoration: Jan Pascale,Mank,True,Netflix
92,2020,2021,93,SHORT FILM (Animated),Will McCormack and Michael Govier,If Anything Happens I Love You,True,Netflix
100,2020,2021,93,SOUND,"Warren Shaw, Michael Minkler, Beau Borders and David Wyman",Greyhound,False,Apple
101,2020,2021,93,SOUND,"Ren Klyce, Jeremy Molod, David Parker, Nathan Nance and Drew Kunin",Mank,False,Netflix
104,2020,2021,93,SOUND,"Nicolas Becker, Jaime Baksht, Michellee Couttolenc, Carlos Cortés and Phillip Bladh",Sound of Metal,True,Amazon Studios
108,2020,2021,93,VISUAL EFFECTS,"Matthew Kasmir, Christopher Lawrence, Max Solomon and David Watkins",The Midnight Sky,False,Netflix
110,2020,2021,93,WRITING (Adapted Screenplay),Screenplay by Sacha Baron Cohen & Anthony Hines & Dan Swimer & Peter Baynham & Erica Rivinoja & Dan Mazer & Jena Friedman & Lee Kern; Story by Sacha Baron Cohen & Anthony Hines & Dan Swimer & Nina Pedrad,Borat Subsequent Moviefilm: Delivery of Prodigious Bribe to American Regime for Make Benefit Once Glorious Nation of Kazakhstan,False,Amazon Studios
112,2020,2021,93,WRITING (Adapted Screenplay),Screenplay by Kemp Powers,One Night in Miami...,False,Amazon Studios
114,2020,2021,93,WRITING (Adapted Screenplay),Written for the screen by Ramin Bahrani,The White Tiger,False,Netflix
